Region Abbreviation,Full Region Name,Region Group, L superior frontal gyrus, R superior frontal gyrus, L middle frontal gyrus, R middle frontal gyrus, L inferior frontal gyrus, R inferior frontal gyrus, L precentral gyrus, R precentral gyrus, L middle orbitofrontal gyrus, R middle orbitofrontal gyrus, L lateral orbitofrontal gyrus, R lateral orbitofrontal gyrus, L gyrus rectus, R gyrus rectus, L postcentral gyrus, R postcentral gyrus, L superior parietal gyrus, R superior parietal gyrus, L supramarginal gyrus, R supramarginal gyrus, L angular gyrus, R angular gyrus, L precuneus, R precuneus, L superior occipital gyrus, R superior occipital gyrus, L middle occipital gyrus, R middle occipital gyrus, L inferior occipital gyrus, R inferior occipital gyrus, L cuneus, R cuneus, L superior temporal gyrus, R superior temporal gyrus, L middle temporal gyrus, R middle temporal gyrus, L inferior temporal gyrus, R inferior temporal gyrus, L parahippocampal gyrus, R parahippocampal gyrus, L lingual gyrus, R lingual gyrus, L fusiform gyrus, R fusiform gyrus, L insular cortex, R insular cortex, L cingulate gyrus, R cingulate gyrus, L caudate, R caudate, L putamen, R putamen, L hippocampus, R hippocampus, cerebellum, brainstem
21, L superior frontal gyrus,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
22, R superior frontal gyrus,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
23, L middle frontal gyrus,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24, R middle frontal gyrus,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25, L inferior frontal gyrus,1,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26, R inferior frontal gyrus,1,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27, L precentral gyrus,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28, R precentral gyrus,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29, L middle orbitofrontal gyrus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30, R middle orbitofrontal gyrus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31, L lateral orbitofrontal gyrus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32, R lateral orbitofrontal gyrus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
