,,,,Right ACgG  anterior cingulate gyrus,Left ACgG  anterior cingulate gyrus,Right AIns  anterior insula,Left AIns  anterior insula,Right AOrG  anterior orbital gyrus,Left AOrG  anterior orbital gyrus,Right AnG   angular gyrus,Left AnG   angular gyrus,Right Calc  calcarine cortex,Left Calc  calcarine cortex,Right CO    central operculum,Left CO    central operculum,Right Cun   cuneus,Left Cun   cuneus,Right Ent   entorhinal area,Left Ent   entorhinal area,Right FO    frontal operculum,Left FO    frontal operculum,Right FRP   frontal pole,Left FRP   frontal pole,Right FuG   fusiform gyrus,Left FuG   fusiform gyrus,Right GRe   gyrus rectus,Left GRe   gyrus rectus,Right IOG   inferior occipital gyrus,Left IOG   inferior occipital gyrus,Right ITG   inferior temporal gyrus,Left ITG   inferior temporal gyrus,Right LiG   lingual gyrus,Left LiG   lingual gyrus,Right LOrG  lateral orbital gyrus,Left LOrG  lateral orbital gyrus,Right MCgG  middle cingulate gyrus,Left MCgG  middle cingulate gyrus,Right MFC   medial frontal cortex,Left MFC   medial frontal cortex,Right MFG   middle frontal gyrus,Left MFG   middle frontal gyrus,Right MOG   middle occipital gyrus,Left MOG   middle occipital gyrus,Right MOrG  medial orbital gyrus,Left MOrG  medial orbital gyrus,Right MPoG  postcentral gyrus medial segment,Left MPoG  postcentral gyrus medial segment,Right MPrG  precentral gyrus medial segment,Left MPrG  precentral gyrus medial segment,Right MSFG  superior frontal gyrus medial segment,Left MSFG  superior frontal gyrus medial segment,Right MTG   middle temporal gyrus,Left MTG   middle temporal gyrus,Right OCP   occipital pole,Left OCP   occipital pole,Right OFuG  occipital fusiform gyrus,Left OFuG  occipital fusiform gyrus,Right OpIFG opercular part of the inferior frontal gyrus,Left OpIFG opercular part of the inferior frontal gyrus,Right OrIFG orbital part of the inferior frontal gyrus,Left OrIFG orbital part of the inferior frontal gyrus,Right PCgG  posterior cingulate gyrus,Left PCgG  posterior cingulate gyrus,Right PCu   precuneus,Left PCu   precuneus,Right PHG   parahippocampal gyrus,Left PHG   parahippocampal gyrus,Right PIns  posterior insula,Left PIns  posterior insula,Right PO    parietal operculum,Left PO    parietal operculum,Right PoG   postcentral gyrus,Left PoG   postcentral gyrus,Right POrG  posterior orbital gyrus,Left POrG  posterior orbital gyrus,Right PP    planum polare,Left PP    planum polare,Right PrG   precentral gyrus,Left PrG   precentral gyrus,Right PT    planum temporale,Left PT    planum temporale,Right SCA   subcallosal area,Left SCA   subcallosal area,Right SFG   superior frontal gyrus,Left SFG   superior frontal gyrus,Right SMC   supplementary motor cortex,Left SMC   supplementary motor cortex,Right SMG   supramarginal gyrus,Left SMG   supramarginal gyrus,Right SOG   superior occipital gyrus,Left SOG   superior occipital gyrus,Right SPL   superior parietal lobule,Left SPL   superior parietal lobule,Right STG   superior temporal gyrus,Left STG   superior temporal gyrus,Right TMP   temporal pole,Left TMP   temporal pole,Right TrIFG triangular part of the inferior frontal gyrus,Left TrIFG triangular part of the inferior frontal gyrus,Right TTG   transverse temporal gyrus,Left TTG   transverse temporal gyrus
5.1.1., ACgG,Right ACgG  anterior cingulate gyrus,3596.833334,0,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.3333333,15.33333333,591.3333333,99.5,0,0,0,0,0,0,0,0,0,0,1104.666667,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.66666667,11,0,0,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1.1., ACgG,Left ACgG  anterior cingulate gyrus,3126.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66666667,195.6666667,242.6666667,846,0,0,0,0,0,0,0,0,0,0,362.3333333,1304.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,85.66666667,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5.1., AIns,Right AIns  anterior insula,3691.166667,0,0,0,0,0,0,0,0,0,0,826,0,0,0,11.33333333,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.5,0,0,0,0,0,0,0,462.6666667,0,99,0,0,0,342.6666667,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33333333,0,28.66666667,0,0,0
1.5.1., AIns,Left AIns  anterior insula,3729.833333,0,0,0,0,0,0,0,0,0,0,0,870,0,0,0,5,0,827.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.6666667,0,0,0,0,0,0,0,434.6666667,0,399,0,0,0,297.3333333,0,149.6666667,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,49.5,0,25.33333333,0,0
1.3.1., AOrG,Right AOrG  anterior orbital gyrus,1571.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,566.3333333,0,0,0,0,0,226,0,0,0,541.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3.1., AOrG,Left AOrG  anterior orbital gyrus,1598.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,549.3333333,0,0,0,0,0,272,0,0,0,424.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1.4., AnG,Right AnG   angular gyrus,4560.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,599.3333333,0,0,0,0,0,0,0,0,0,602.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6666667,0,47.5,0,1721,0,416.3333333,0,0,0,0,0,0,0
3.1.4., AnG,Left AnG   angular gyrus,4588.333334,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,136.5,0,0,0,0,0,0,0,0,0,0,0,0,0,867.6666667,0,0,0,0,0,0,0,0,0,797.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707.6666667,0,73.66666667,0,1504.666667,0,479.6666667,0,0,0,0,0,0
4.3.2., Calc,Right Calc  calcarine cortex,1928.166667,0,0,0,0,0,0,0,0,0,14,0,0,614.6666667,62,0,0,0,0,0,0,0,0,0,0,26,0,0,0,633,216.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.66666667,0,113,0,0,0,0,0,0,0,125.3333333,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3.2., Calc,Left Calc  calcarine cortex,1877.5,0,0,0,0,0,0,0,0,0,0,0,0,176.5,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.66666667,700.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,23,174.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
