,background,Unlabeled,aals,ahls,3rd Ventricle,calcarine,central,central_insular,cingulate,circular,collateral,4th Ventricle,first_transverse,Heschls,inferior_frontal,5th Ventricle,intraparietal,primary_inter,lateral_occipital,occ_temporal,olfactory,par_occipital,pals,Right Accumbens Area,phls,postcentral,precentral,subparietal,superior_frontal,superior_temporal,Left Accumbens Area,Right Amygdala,Left Amygdala,Right Amygdala Anterior,Left Amygdala Anterior,Brain Stem,Right Caudate,Left Caudate,Right Cerebellum Exterior,Left Cerebellum Exterior,Right Cerebellum White Matter,Left Cerebellum White Matter,Right Cerebral Exterior,Left Cerebral Exterior,Right Cerebral White Matter,Left Cerebral White Matter,CSF,Right Hippocampus,Left Hippocampus,Right Inf Lat Vent,Left Inf Lat Vent,Right Lateral Ventricle,Left Lateral Ventricle,Right Lesion,Left Lesion,Right Pallidum,Left Pallidum,Right Putamen,Left Putamen,Right Thalamus Proper,Left Thalamus Proper,Right Ventral DC,Left Ventral DC,Right vessel,Left vessel,Left Insula,Right Insula,Left Operculum,Right Operculum,Left optic chiasm,Right optic chiasm,Cerebellar Vermal Lobules I-V,Cerebellar Vermal Lobules VI-VII,Cerebellar Vermal Lobules VIII-X,Vitamin E Tablet,nolabel,nolabel,nolabel,nolabel,nolabel,frontomarginal,inferior_rostral,inferior_temporal,lateral_orbital,superior_rostral,lateral,anterior_occipital,lhos,mhos,superior_vermal_sulcus,central_vermal_sulcus,inferior_vermal_sulcus,lateral_vermal_sulcus,thos,nolabel,nolabel,nolabel,nolabel,nolabel,nolabel,Right ACgG  anterior cingulate gyrus,Left ACgG  anterior cingulate gyrus,Right AIns  anterior insula,Left AIns  anterior insula,Right AOrG  anterior orbital gyrus,Left AOrG  anterior orbital gyrus,Right AnG   angular gyrus,Left AnG   angular gyrus,Right Calc  calcarine cortex,Left Calc  calcarine cortex,Right CgG   cingulate gyrus,Left CgG   cingulate gyrus,Right CO    central operculum,Left CO    central operculum,Right Cun   cuneus,Left Cun   cuneus,Right Ent   entorhinal area,Left Ent   entorhinal area,Right FO    frontal operculum,Left FO    frontal operculum,Right FRP   frontal pole,Left FRP   frontal pole,Right FuG   fusiform gyrus,Left FuG   fusiform gyrus,Right GRe   gyrus rectus,Left GRe   gyrus rectus,Right IFG   inferior frontal gyrus,Left IFG   inferior frontal gyrus,Right IOG   inferior occipital gyrus,Left IOG   inferior occipital gyrus,Right IOrG  intermediate orbital gyrus,Left IOrG  intermediate orbital gyrus,Right ITG   inferior temporal gyrus,Left ITG   inferior temporal gyrus,Right LiG   lingual gyrus,Left LiG   lingual gyrus,Right LOrG  lateral orbital gyrus,Left LOrG  lateral orbital gyrus,Right MCgG  middle cingulate gyrus,Left MCgG  middle cingulate gyrus,Right MFC   medial frontal cortex,Left MFC   medial frontal cortex,Right MFG   middle frontal gyrus,Left MFG   middle frontal gyrus,Right MOG   middle occipital gyrus,Left MOG   middle occipital gyrus,Right MOrG  medial orbital gyrus,Left MOrG  medial orbital gyrus,Right MPoG  postcentral gyrus medial segment,Left MPoG  postcentral gyrus medial segment,Right MPrG  precentral gyrus medial segment,Left MPrG  precentral gyrus medial segment,Right MSFG  superior frontal gyrus medial segment,Left MSFG  superior frontal gyrus medial segment,Right MTG   middle temporal gyrus,Left MTG   middle temporal gyrus,Right OCP   occipital pole,Left OCP   occipital pole,Right OFC   orbitofrontal cortex,Left OFC   orbitofrontal cortex,Right OFuG  occipital fusiform gyrus,Left OFuG  occipital fusiform gyrus,Right OpIFG opercular part of the inferior frontal gyrus,Left OpIFG opercular part of the inferior frontal gyrus,Right OrIFG orbital part of the inferior frontal gyrus,Left OrIFG orbital part of the inferior frontal gyrus,Right PCgG  posterior cingulate gyrus,Left PCgG  posterior cingulate gyrus,Right PCu   precuneus,Left PCu   precuneus,Right PHG   parahippocampal gyrus,Left PHG   parahippocampal gyrus,Right PIns  posterior insula,Left PIns  posterior insula,Right PO    parietal operculum,Left PO    parietal operculum,Right PoG   postcentral gyrus,Left PoG   postcentral gyrus,Right POrG  posterior orbital gyrus,Left POrG  posterior orbital gyrus,Right PP    planum polare,Left PP    planum polare,Right PrG   precentral gyrus,Left PrG   precentral gyrus,Right PT    planum temporale,Left PT    planum temporale,Right SCA   subcallosal area,Left SCA   subcallosal area,Right SCLC  supracalcarine cortex,Left SCLC  supracalcarine cortex,Right SFG   superior frontal gyrus,Left SFG   superior frontal gyrus,Right SMC   supplementary motor cortex,Left SMC   supplementary motor cortex,Right SMG   supramarginal gyrus,Left SMG   supramarginal gyrus,Right SOG   superior occipital gyrus,Left SOG   superior occipital gyrus,Right SPL   superior parietal lobule,Left SPL   superior parietal lobule,Right STG   superior temporal gyrus,Left STG   superior temporal gyrus,Right TMP   temporal pole,Left TMP   temporal pole,Right TrIFG triangular part of the inferior frontal gyrus,Left TrIFG triangular part of the inferior frontal gyrus,Right TTG   transverse temporal gyrus,Left TTG   transverse temporal gyrus
background,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,549.833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.166666667,141.333333333,0.0,0.0,9180.83333333,10.0,0.0,26875.5,26436.1666667,1495.66666667,1520.0,1227.16666667,1185.83333333,1249.83333333,1015.16666667,510.666666667,406.333333333,455.166666667,11.0,7.5,6.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,439.333333333,480.833333333,1500.33333333,1635.33333333,0.0,0.0,0.0,0.0,0.0,0.0,200.666666667,189.833333333,2623.5,1817.16666667,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797.5,2620.0,2065.16666667,1914.16666667,1070.83333333,706.666666667,8796.66666667,7347.16666667,612.333333333,881.666666667,0.0,0.0,1680.5,1838.16666667,3146.33333333,3192.83333333,1719.33333333,1482.0,805.0,760.166666667,5741.66666667,5689.5,2817.5,3189.83333333,1783.66666667,1758.0,0.0,0.0,5197.16666667,6264.83333333,0.0,0.0,7314.33333333,6384.33333333,4233.83333333,3825.33333333,1873.5,2827.33333333,2542.33333333,2274.33333333,840.166666667,831.833333333,14516.5,14004.3333333,3397.33333333,4586.16666667,3407.16666667,3692.5,830.333333333,1064.0,2507.83333333,2660.16666667,5159.66666667,4514.33333333,7583.16666667,5751.83333333,5765.0,7380.16666667,0.0,0.0,3026.66666667,2703.16666667,1368.66666667,1328.66666667,1945.33333333,1572.16666667,1475.66666667,1860.66666667,6202.16666667,6699.83333333,3089.33333333,3130.33333333,866.666666667,760.333333333,1599.83333333,1372.33333333,10200.8333333,14665.0,2190.66666667,1998.16666667,1582.5,1749.33333333,10742.3333333,11751.3333333,1424.0,1053.16666667,783.833333333,904.333333333,0.0,0.0,14174.3333333,13300.1666667,4415.33333333,4389.0,5050.83333333,5908.33333333,3605.5,3095.16666667,12846.0,11796.5,4460.0,4253.0,7686.16666667,7311.5,3581.83333333,2903.33333333,623.166666667,366.333333333
Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ahls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3rd Ventricle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.75,0.0,0.0,0.0,0.0,0.0,0.0,35.6,30.2,174.833333333,206.0,173.5,0.0,0.0,0.0,0.0,18.3333333333,15.0,0.0,0.0,0.0,0.0,0.0,0.0,383.5,375.5,452.333333333,422.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8333333333,27.1666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calcarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
central_insular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cingulate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
